Batch_ID,Region,Distributor_ID,Drug_Category,Distributor_Credibility_Score,Active_Ingredient_Pct,Storage_Temp_Deviation,Packaging_Discrepancy_Flag,Unit_Price_Discount_Pct,Is_Counterfeit
B100000,North,D01,Analgesic,0.76,99.1,5.1,0,6.4,0
B100001,South,D23,Antibiotic,0.83,100.0,3.3,1,,0
B100002,North-East,D12,Antibiotic,0.65,98.0,1.0,0,7.8,0
B100003,North-East,D19,Antibiotic,0.02,98.9,1.0,1,0.0,0
B100004,Central,D02,Cardiac,0.74,98.4,5.4,0,7.1,0
B100005,North-East,D12,Analgesic,0.73,,1.9,0,8.4,0
B100006,North-East,D12,Analgesic,0.58,97.8,3.6,0,13.2,0
B100007,South,D23,Vaccine,0.79,98.9,0.6,0,0.0,0
B100008,Central,D13,Antidiabetic,0.85,98.0,2.0,0,10.4,0
B100009,West,D11,Vaccine,0.71,101.3,1.4,0,12.0,0
B100010,North-East,D06,Cardiac,0.61,100.4,11.6,1,7.8,0
B100011,Central,D08,Antidiabetic,0.79,102.6,4.8,0,11.1,0
B100012,North-East,D12,Analgesic,0.68,104.2,,0,9.9,0
B100013,West,D11,Antidiabetic,0.7,92.4,0.7,0,0.0,0
B100014,North,D01,Vaccine,0.6,101.0,6.6,0,1.5,0
B100015,East,D20,Cardiac,0.95,101.6,0.4,0,23.0,0
B100016,East,D22,Antibiotic,0.74,101.0,,0,12.6,0
B100017,East,D04,Analgesic,0.96,,0.6,0,3.8,0
B100018,Central,D13,Antibiotic,0.99,99.9,0.2,0,,0
B100019,West,D03,Antibiotic,0.81,97.8,1.2,0,13.0,0
B100020,Central,D16,Antibiotic,0.13,101.8,0.1,0,18.8,0
B100021,North,D07,Vaccine,0.81,99.9,2.0,0,5.3,0
B100022,Central,D16,Analgesic,0.24,72.7,4.2,1,21.1,1
B100023,North,D18,Analgesic,0.85,102.0,1.1,0,,0
B100024,North-East,D19,Vaccine,0.08,72.4,0.0,0,32.2,1
B100025,West,D03,Antidiabetic,0.77,102.7,2.4,0,3.8,0
B100026,East,D22,Antidiabetic,0.77,94.4,1.4,0,,0
B100027,North-East,D06,Antibiotic,0.6,104.2,1.8,0,5.1,0
B100028,North,D01,Analgesic,0.6,97.1,0.8,0,7.6,0
B100029,Central,D13,Analgesic,0.91,101.1,2.3,0,21.1,0
B100030,South,D09,Cardiac,0.23,100.9,1.8,0,1.3,0
B100031,East,D20,Vaccine,0.96,102.5,5.2,0,10.4,0
B100032,East,D20,Cardiac,0.94,99.3,6.2,0,0.1,0
B100033,North,D07,Antibiotic,0.79,95.3,6.4,0,14.5,0
B100034,South,D23,Vaccine,0.8,99.3,0.7,0,15.8,0
B100035,North,D07,Cardiac,0.83,99.5,0.8,0,1.9,0
B100036,North-East,D12,Analgesic,0.65,95.5,5.4,0,3.1,0
B100037,North-East,D06,Cardiac,0.51,100.1,3.5,0,12.7,0
B100038,South,D23,Antibiotic,0.84,103.0,1.5,0,6.1,0
B100039,East,D04,Antibiotic,0.8,101.4,2.2,1,17.9,0
